Decays,Algorithm,Train Accuracy,Test Accuracy,F1 Score
0.2,simulated_annealing,0.3929236499068901,0.33766233766233766,0.4742268041237113
0.25,simulated_annealing,0.3929236499068901,0.33766233766233766,0.4742268041237113
0.3,simulated_annealing,0.3929236499068901,0.33766233766233766,0.4742268041237113
0.35,simulated_annealing,0.3929236499068901,0.33766233766233766,0.4742268041237113
0.4,simulated_annealing,0.3929236499068901,0.33766233766233766,0.4742268041237113
0.45,simulated_annealing,0.3929236499068901,0.33766233766233766,0.4742268041237113
0.5,simulated_annealing,0.3929236499068901,0.33766233766233766,0.4742268041237113
0.55,simulated_annealing,0.3929236499068901,0.33766233766233766,0.4742268041237113
0.6,simulated_annealing,0.3929236499068901,0.33766233766233766,0.4742268041237113
0.65,simulated_annealing,0.3929236499068901,0.33766233766233766,0.4742268041237113
0.7,simulated_annealing,0.3929236499068901,0.33766233766233766,0.4742268041237113
0.75,simulated_annealing,0.3929236499068901,0.33766233766233766,0.4742268041237113
0.8,simulated_annealing,0.3929236499068901,0.33766233766233766,0.4742268041237113
0.85,simulated_annealing,0.3929236499068901,0.33766233766233766,0.4742268041237113
0.9,simulated_annealing,0.3929236499068901,0.33766233766233766,0.4742268041237113
0.95,simulated_annealing,0.3929236499068901,0.33766233766233766,0.4742268041237113
